Unnamed: 0,GEOID,TYPE,MONIKER,INTERNET_ADDRESS,Unnamed: 5
13.0,BETA geoid 1014,GEOGRAPHY*TYPE*T,Pedrosa de Río Úrbel,Q1751251,
25.0,BETA geoid 1026,GEOGRAPHY*TYPE*MN,San Juan de la Peña (monasterio / convento),Q1389060,
39.0,BETA geoid 1038,GEOGRAPHY*TYPE*J,Palacio de la Aljafería (castillo),Q1354033,
76.0,BETA geoid 1069,GEOGRAPHY*TYPE*T,Monterrey,Q1452663,
79.0,BETA geoid 1072,GEOGRAPHY*TYPE*T,Ólvega,Q623685,
83.0,BETA geoid 1076,GEOGRAPHY*TYPE*T,Haro,Q405292,
86.0,BETA geoid 1079,GEOGRAPHY*TYPE*T,San Cebrián de las Amayuelas,Q1020397,
88.0,BETA geoid 1081,GEOGRAPHY*TYPE*T,Arlanza,Q5704298,
106.0,BETA geoid 1098,GEOGRAPHY*TYPE*T,València,Q8818,
117.0,BETA geoid 1108,GEOGRAPHY*TYPE*R,Ribagorza (región),Q1425491,
123.0,BETA geoid 1114,GEOGRAPHY*TYPE*C,Cervellón (condado),Q24942071,
125.0,BETA geoid 1115,GEOGRAPHY*TYPE*T,Coimbra,Q45412,
138.0,BETA geoid 1123,GEOGRAPHY*TYPE*U,Infantado (ducado),Q59241456,
142.0,BETA geoid 1126,GEOGRAPHY*TYPE*U,Wellington (ducado),Q1264633,
144.0,BETA geoid 1127,GEOGRAPHY*TYPE*T,Lyon,Q456,
146.0,BETA geoid 1129,GEOGRAPHY*TYPE*C,Mansilla (condado),Q63568233,
166.0,BETA geoid 1146,GEOGRAPHY*TYPE*T,Romré,Q2140111,
183.0,BETA geoid 1157,,,Q3771328,
201.0,BETA geoid 1172,GEOGRAPHY*TYPE*T,Barcelos,Q213242,
240.0,BETA geoid 1204,GEOGRAPHY*TYPE*MO,Monte Sinaí (montaña),Q377485,
243.0,BETA geoid 1207,GEOGRAPHY*TYPE*CO,Étampes (comuna),Q205584,
247.0,BETA geoid 1209,GEOGRAPHY*TYPE*MO,Prades (montaña),Q6745874,
249.0,BETA geoid 1210,GEOGRAPHY*TYPE*U,Bar (ducado),Q706679,
254.0,BETA geoid 1214,GEOGRAPHY*TYPE*R,Los Vélez (región),Q1116313,
256.0,BETA geoid 1215,GEOGRAPHY*TYPE*T,Pont-à-Mousson,Q461413,
260.0,BETA geoid 1219,GEOGRAPHY*TYPE*D,Megara (diócesis),Q1917128,
280.0,BETA geoid 1236,GEOGRAPHY*TYPE*T,Auñón,Q425740,
287.0,BETA geoid 1243,GEOGRAPHY*TYPE*T,Thetford,Q237250,
288.0,BETA geoid 1244,GEOGRAPHY*TYPE*T,Tottenham,Q503375,
289.0,BETA geoid 1245,GEOGRAPHY*TYPE*T,London,Q84,
305.0,BETA geoid 1258,,,Q751986,
304.0,BETA geoid 1258,GEOGRAPHY*TYPE*T,Sessa,Q58898,
306.0,BETA geoid 1259,GEOGRAPHY*TYPE*C,Torrepalma (condado),Q5782162,
312.0,BETA geoid 1264,GEOGRAPHY*TYPE*C,Castro (condado),Q16551211,
340.0,BETA geoid 1290,GEOGRAPHY*TYPE*U,T’Serclaes (ducado),Q5814759,
346.0,BETA geoid 1294,GEOGRAPHY*TYPE*T,Gandía,Q33532,
360.0,BETA geoid 1303,GEOGRAPHY*TYPE*C,Cork (condado),Q162475,
379.0,BETA geoid 1321,GEOGRAPHY*TYPE*T,Crotone,Q6681,
388.0,BETA geoid 1330,GEOGRAPHY*TYPE*MO,Sierra de Tudia (montaña),Q23979012,
394.0,BETA geoid 1336,GEOGRAPHY*TYPE*T,Oñate,Q496588,
396.0,BETA geoid 1337,GEOGRAPHY*TYPE*T,Castañeda,Q608641,
402.0,BETA geoid 1341,GEOGRAPHY*TYPE*T,Melito,Q72258,
405.0,BETA geoid 1342,GEOGRAPHY*TYPE*R,Real de Manzanares (región),Q5823075,
434.0,BETA geoid 1365,GEOGRAPHY*TYPE*C,Villaumbrosa (condado),Q5782255,
437.0,BETA geoid 1367,GEOGRAPHY*TYPE*T,Coruña,Q1613822,
439.0,BETA geoid 1368,GEOGRAPHY*TYPE*T,Osorno,Q63517226,
454.0,BETA geoid 1381,GEOGRAPHY*TYPE*T,Grajal,Q137698,
456.0,BETA geoid 1382,GEOGRAPHY*TYPE*M,Montaos (marquesado),Q6000662,
457.0,BETA geoid 1383,GEOGRAPHY*TYPE*C,Ezpeleta de Beire (condado),Q24942152,
459.0,BETA geoid 1384,GEOGRAPHY*TYPE*U,Castroterreño (ducado),Q5814563,
473.0,BETA geoid 1397,GEOGRAPHY*TYPE*T,Saldaña,Q773408,
475.0,BETA geoid 1398,GEOGRAPHY*TYPE*C,Aguilar (condado),Q16144396,
481.0,BETA geoid 1403,GEOGRAPHY*TYPE*T,San Esteban de Gormaz,Q487352,
486.0,BETA geoid 1407,GEOGRAPHY*TYPE*C,Fuente el Saúz (condado),Q5578155,
502.0,BETA geoid 1415,GEOGRAPHY*TYPE*T,Treviño,Q427099,
512.0,BETA geoid 1423,GEOGRAPHY*TYPE*T,Cadaval,Q33661928,
529.0,BETA geoid 1437,GEOGRAPHY*TYPE*T,Collesano,Q491394,
555.0,BETA geoid 1458,GEOGRAPHY*TYPE*T,Puebla de Los Ángeles,Q125293,
556.0,BETA geoid 1459,GEOGRAPHY*TYPE*T,Benahavis,Q816672,
616.0,BETA geoid 1512,GEOGRAPHY*TYPE*U,Lancaster (ducado),Q2914544,
617.0,BETA geoid 1513,GEOGRAPHY*TYPE*K,Regno di Sardegna (reino),Q165154,
619.0,BETA geoid 1514,GEOGRAPHY*TYPE*C,Provence (condado),Q2991382,
665.0,BETA geoid 1556,GEOGRAPHY*TYPE*R,Sobrarbe (región),Q1340288,
676.0,BETA geoid 1565,GEOGRAPHY*TYPE*C,Lemos,Q8349573,
698.0,BETA geoid 1584,GEOGRAPHY*TYPE*C,Buelna (condado),Q5781398,
700.0,BETA geoid 1585,GEOGRAPHY*TYPE*T,Medellín,Q668384,
715.0,BETA geoid 1597,GEOGRAPHY*TYPE*T,Puebla de Montalbán,Q537779,
730.0,BETA geoid 1610,GEOGRAPHY*TYPE*T,Ureña,Q609581,
733.0,BETA geoid 1611,GEOGRAPHY*TYPE*C,Trastámara (condado),Q1541432,
739.0,BETA geoid 1616,GEOGRAPHY*TYPE*U,Terranova (ducado),Q5814768,
741.0,BETA geoid 1617,GEOGRAPHY*TYPE*J,Castel Sant’Angelo (castillo),Q486382,
748.0,BETA geoid 1623,GEOGRAPHY*TYPE*T,Abrantes,Q331191,
759.0,BETA geoid 1630,GEOGRAPHY*TYPE*R,Valentinois (región),Q335108,
760.0,BETA geoid 1631,GEOGRAPHY*TYPE*T,Vila Nova,Q543542,
763.0,BETA geoid 1634,GEOGRAPHY*TYPE*T,Vimioso,Q551649,
772.0,BETA geoid 1641,GEOGRAPHY*TYPE*T,Noreña,Q816255,
786.0,BETA geoid 1654,GEOGRAPHY*TYPE*P,Baixo Alentejo (provincia),Q788653,
787.0,BETA geoid 1655,GEOGRAPHY*TYPE*T,Beja,Q213251,
811.0,BETA geoid 1678,GEOGRAPHY*TYPE*P,Oviedo (provincia),Q95006,
826.0,BETA geoid 1692,GEOGRAPHY*TYPE*T,Caminha,Q1029544,
840.0,BETA geoid 1704,GEOGRAPHY*TYPE*T,Salvatierra,Q398698,
846.0,BETA geoid 1709,GEOGRAPHY*TYPE*T,Siyilmasa,Q1334331,
851.0,BETA geoid 1715,GEOGRAPHY*TYPE*T,Città Sant’Angelo,Q51356,
871.0,BETA geoid 1733,GEOGRAPHY*TYPE*T,Alenquer,Q988830,
874.0,BETA geoid 1735,GEOGRAPHY*TYPE*T,Aliaga,Q771314,
877.0,BETA geoid 1738,GEOGRAPHY*TYPE*T,Melgar,Q5781769,
881.0,BETA geoid 1741,GEOGRAPHY*TYPE*J,Cabrera (castillo),Q4895050,
885.0,BETA geoid 1744,GEOGRAPHY*TYPE*T,Orléans,Q6548,
905.0,BETA geoid 1762,GEOGRAPHY*TYPE*T,Perelada,Q11803,
906.0,BETA geoid 1763,GEOGRAPHY*TYPE*T,Zavellá,Q739975,
920.0,BETA geoid 1773,GEOGRAPHY*TYPE*T,Campo Real,Q1999732,
925.0,BETA geoid 1776,GEOGRAPHY*TYPE*T,San Martín de Muñatones,Q12263970,
932.0,BETA geoid 1782,GEOGRAPHY*TYPE*T,Mújica,Q664870,
933.0,BETA geoid 1783,GEOGRAPHY*TYPE*T,Aramayona,Q976743,
978.0,BETA geoid 1825,GEOGRAPHY*TYPE*M,Cazaza (marquesado),Q112122245,
996.0,BETA geoid 1842,GEOGRAPHY*TYPE*T,Blois,Q160927,
999.0,BETA geoid 1843,GEOGRAPHY*TYPE*R,Hainaut (región),Q3125766,
1007.0,BETA geoid 1851,GEOGRAPHY*TYPE*T,Milano,Q490,
1066.0,BETA geoid 1909,GEOGRAPHY*TYPE*D,Elne (diócesis),Q111264512,
1073.0,BETA geoid 1916,GEOGRAPHY*TYPE*T,Ferrara,Q13362,
1076.0,BETA geoid 1922,GEOGRAPHY*TYPE*T,Alife,Q58433,
1078.0,BETA geoid 1924,GEOGRAPHY*TYPE*J,Castel Nuovo (castillo),Q781219,
1153.0,BETA geoid 1998,GEOGRAPHY*TYPE*T,Villalba de los Alcores,Q1907118,
1169.0,BETA geoid 2013,GEOGRAPHY*TYPE*T,Pernia,Q1918857,
1221.0,BETA geoid 2063,GEOGRAPHY*TYPE*O,Vizcaya (señorío),Q3045810,
1237.0,BETA geoid 2080,GEOGRAPHY*TYPE*T,Senigallia,Q124925,
1247.0,BETA geoid 2091,GEOGRAPHY*TYPE*T,Estremera,Q5814584,
1262.0,BETA geoid 2106,GEOGRAPHY*TYPE*T,Tarouca,Q990460,
1285.0,BETA geoid 2126,GEOGRAPHY*TYPE*U,Bretagne (ducado),Q71747,
1289.0,BETA geoid 2130,GEOGRAPHY*TYPE*T,Argenton,Q1058332,
1290.0,BETA geoid 2131,GEOGRAPHY*TYPE*DP,Deux-Sèvres (département),Q12765,
1291.0,BETA geoid 2132,GEOGRAPHY*TYPE*T,Benavides,Q1641158,
1294.0,BETA geoid 2134,GEOGRAPHY*TYPE*T,Chimay,Q95380,
1359.0,BETA geoid 2190,GEOGRAPHY*TYPE*O,Urbasa (señorío),Q111131899,
1371.0,BETA geoid 2199,GEOGRAPHY*TYPE*M,Eliche (marquesado),Q2837846,
1384.0,BETA geoid 2211,GEOGRAPHY*TYPE*I,Lanzarote (isla),Q182432,
1416.0,BETA geoid 2240,GEOGRAPHY*TYPE*C,Boulogne (condado),Q1431527,
1425.0,BETA geoid 2247,GEOGRAPHY*TYPE*T,Villagarcía de la Torre,Q1628543,
1440.0,BETA geoid 2261,GEOGRAPHY*TYPE*C,Sussex (condado),Q23346,
1452.0,BETA geoid 2270,GEOGRAPHY*TYPE*P,Savona (provincia),Q16274,
1454.0,BETA geoid 2271,GEOGRAPHY*TYPE*T,Sulmona,Q50157,
1461.0,BETA geoid 2275,GEOGRAPHY*TYPE*MO,Sierra Bermeja (montaña),Q3483441,
1469.0,BETA geoid 2282,GEOGRAPHY*TYPE*T,Palmela,Q850855,
1482.0,BETA geoid 2293,GEOGRAPHY*TYPE*C,Oliveto (condado),Q5781836,
1502.0,BETA geoid 2309,GEOGRAPHY*TYPE*T,Francavilla,Q51866,
1505.0,BETA geoid 2310,GEOGRAPHY*TYPE*T,Lerma,Q59244924,
1506.0,BETA geoid 2311,GEOGRAPHY*TYPE*U,Mandas y Villanueva (ducado),Q3699091,
1511.0,BETA geoid 2315,GEOGRAPHY*TYPE*P,Padova (provincia),Q16226,
1513.0,BETA geoid 2317,GEOGRAPHY*TYPE*T,Boston,Q100,
1514.0,BETA geoid 2318,GEOGRAPHY*TYPE*T,Cobos,Q5775756,
1515.0,BETA geoid 2319,GEOGRAPHY*TYPE*T,,Q126094198,
1526.0,BETA geoid 2330,GEOGRAPHY*TYPE*T,Moral de Calatrava,Q1644456,
1543.0,BETA geoid 2346,GEOGRAPHY*TYPE*T,Loranco,Quintanaloranco,
1552.0,BETA geoid 2355,GEOGRAPHY*TYPE*T,Santa Marta,Q1375842,
1555.0,BETA geoid 2357,GEOGRAPHY*TYPE*M,Esteva de las Delicias (marquesado),Q6000312,
1568.0,BETA geoid 2369,GEOGRAPHY*TYPE*Y,Liechtenstein (principado),Q347,
1578.0,BETA geoid 2377,GEOGRAPHY*TYPE*P,Perugia (provincia),Q16240,
1596.0,BETA geoid 2393,GEOGRAPHY*TYPE*T,Toreno,Q44913,
1608.0,BETA geoid 2403,GEOGRAPHY*TYPE*O,Stuart de Rothesay (señorío),Q6001313,
1635.0,BETA geoid 2426,GEOGRAPHY*TYPE*C,Castilla (condado),Q1249230,
1653.0,BETA geoid 2441,GEOGRAPHY*TYPE*U,Guyenne (ducado),Q849324,
1678.0,BETA geoid 2460,GEOGRAPHY*TYPE*MO,Coll de la Garrofera (montaña),Q17482094,
1693.0,BETA geoid 2473,GEOGRAPHY*TYPE*C,Champagne (condado),Q546266,
1695.0,BETA geoid 2474,GEOGRAPHY*TYPE*U,La Roca (ducado),Q5814798,
1697.0,BETA geoid 2475,GEOGRAPHY*TYPE*T,Belalcázar,Q854373,
1704.0,BETA geoid 2481,GEOGRAPHY*TYPE*U,Aquitaine (ducado),Q7703611,
1710.0,BETA geoid 2487,GEOGRAPHY*TYPE*T,Lobkovice,Q3503988,
1719.0,BETA geoid 2495,GEOGRAPHY*TYPE*T,Cangas de Tineo,Q737421,
1737.0,BETA geoid 2514,GEOGRAPHY*TYPE*T,Montpensier,Q845814,
1738.0,BETA geoid 2514,,,Q1615467,
1747.0,BETA geoid 2523,GEOGRAPHY*TYPE*T,Lerín,Q984875,
1781.0,BETA geoid 2554,GEOGRAPHY*TYPE*T,Ellesmere,Q988970,
1798.0,BETA geoid 2571,GEOGRAPHY*TYPE*U,Savoia (ducado),Q426025,
1814.0,BETA geoid 2586,GEOGRAPHY*TYPE*T,York,Q42462,
1827.0,BETA geoid 2597,GEOGRAPHY*TYPE*T,Peñausende,Q907416,
1853.0,BETA geoid 2622,GEOGRAPHY*TYPE*T,Azambuja,Q634164,
1872.0,BETA geoid 2640,GEOGRAPHY*TYPE*R,Asturias de Santillana (región),Q3330011,
1885.0,BETA geoid 2652,GEOGRAPHY*TYPE*J,Castillo de Alhabar (castillo),Q24049968,
1893.0,BETA geoid 2658,GEOGRAPHY*TYPE*T,Aguiar,Q1603774,
1921.0,BETA geoid 2680,GEOGRAPHY*TYPE*CO,Arrigas (comuna),Q840039,
1931.0,BETA geoid 2688,GEOGRAPHY*TYPE*J,Lumley Castle (castillo),Q6703353,
1933.0,BETA geoid 2689,GEOGRAPHY*TYPE*T,Vila Real,Q503856,
1937.0,BETA geoid 2692,GEOGRAPHY*TYPE*O,Señorío de Entenza (señorío),Q3729178,
1948.0,BETA geoid 2700,GEOGRAPHY*TYPE*T,Geraci,Q386523,
1951.0,BETA geoid 2702,GEOGRAPHY*TYPE*C,Caltanissetta (condado),Q3688025,
1955.0,BETA geoid 2705,GEOGRAPHY*TYPE*T,Avranches,Q204430,
1964.0,BETA geoid 2712,GEOGRAPHY*TYPE*R,Goceano (región),Q388954,
1997.0,BETA geoid 2744,GEOGRAPHY*TYPE*T,Lopera,Q782775,
2000.0,BETA geoid 2745,GEOGRAPHY*TYPE*T,Cabeza del Buey,Q1100433,
2006.0,BETA geoid 2750,GEOGRAPHY*TYPE*J,Puente de Alcántara (castillo),Q581532,
2017.0,BETA geoid 2760,GEOGRAPHY*TYPE*T,Santiago,Q117040,
2072.0,BETA geoid 2811,GEOGRAPHY*TYPE*T,Motrico,Q1618305,
2103.0,BETA geoid 2834,GEOGRAPHY*TYPE*T,San Esteban de las Cruces,Q1607479,
2108.0,BETA geoid 2836,GEOGRAPHY*TYPE*T,Almada,Q941760,
2109.0,BETA geoid 2837,GEOGRAPHY*TYPE*T,Carrascosa del Campo,Q2468358,
2111.0,BETA geoid 2839,GEOGRAPHY*TYPE*T,Orthez,Q244248,
2112.0,BETA geoid 2840,GEOGRAPHY*TYPE*T,Santa Cruz de la Sierra,Q973409,
2121.0,BETA geoid 2848,GEOGRAPHY*TYPE*T,Peñíscola,Q845424,
2123.0,BETA geoid 2850,GEOGRAPHY*TYPE*T,Castañares,Q2941342,
2128.0,BETA geoid 2855,GEOGRAPHY*TYPE*T,La Bisbal d’Empordà,Q13460,
2130.0,BETA geoid 2857,GEOGRAPHY*TYPE*T,Belcastro,Q53496,
2131.0,BETA geoid 2858,GEOGRAPHY*TYPE*P,Catanzaro (provincia),Q16159,
2132.0,BETA geoid 2859,GEOGRAPHY*TYPE*R,Tierra de Campos (región),Q2328124,
2133.0,BETA geoid 2860,GEOGRAPHY*TYPE*G,Herbón (parroquia),Q12951957,
2138.0,BETA geoid 2863,GEOGRAPHY*TYPE*T,Sainte-Maure-de-Touraine,Q474524,
2139.0,BETA geoid 2864,GEOGRAPHY*TYPE*DP,Indre-et-Loire (département),Q12556,
2140.0,BETA geoid 2865,GEOGRAPHY*TYPE*T,Messina,Q13666,
2143.0,BETA geoid 2867,GEOGRAPHY*TYPE*T,Poleñino,Q984585,
2148.0,BETA geoid 2872,GEOGRAPHY*TYPE*T,Beauvais,Q174257,
2153.0,BETA geoid 2879,GEOGRAPHY*TYPE*M,Mota (marquesado),Q1929288,
2157.0,BETA geoid 2881,GEOGRAPHY*TYPE*R,Penthièvre (región),Q575374,
2159.0,BETA geoid 2882,GEOGRAPHY*TYPE*C,Devonshire (condado),Q23156,
2162.0,BETA geoid 2884,GEOGRAPHY*TYPE*T,St. Gallen,Q25607,
2164.0,BETA geoid 2886,GEOGRAPHY*TYPE*T,Borja,Q835559,
2165.0,BETA geoid 2887,GEOGRAPHY*TYPE*C,Arrochela (condado),Q16494059,
2167.0,BETA geoid 2888,GEOGRAPHY*TYPE*T,Campobasso,Q3497,
2172.0,BETA geoid 2893,GEOGRAPHY*TYPE*CA,Castilla y León (comunidad autónoma),Q5739,
2173.0,BETA geoid 2894,GEOGRAPHY*TYPE*CA,Castilla-La Mancha (comunidad autónoma),Q5748,
2174.0,BETA geoid 2895,GEOGRAPHY*TYPE*T,Cruïlles,Q3920534,
2177.0,BETA geoid 2898,GEOGRAPHY*TYPE*T,Luna,Q648424,
2194.0,BETA geoid 2911,,,Q6000669,
2193.0,BETA geoid 2911,GEOGRAPHY*TYPE*T,Monteagudo,Q1772992,
,BETA geoid 2917,GEOGRAPHY*TYPE*T,Priego de Córdoba,Q301437,
,BETA geoid 2919,GEOGRAPHY*TYPE*B,Second Battle of Olmedo,Q2295317,
