Unnamed: 0,GEOID,TYPE,MONIKER,INTERNET_ADDRESS,Unnamed: 5,FactGrid link,LEN,Wikidata link
13.0,BETA geoid 1014,GEOGRAPHY*TYPE*T,Pedrosa de Río Úrbel,Q1751251,,Q352175,Pedrosa de Río Urbel,Q1751251
76.0,BETA geoid 1069,GEOGRAPHY*TYPE*T,Monterrey,Q1452663,,Q350848,Monterrei,Q1452663
79.0,BETA geoid 1072,GEOGRAPHY*TYPE*T,Ólvega,Q623685,,Q351678,Ólvega,Q623685
83.0,BETA geoid 1076,GEOGRAPHY*TYPE*T,Haro,Q405292,,Q348615,"Haro, La Rioja",Q405292
86.0,BETA geoid 1079,GEOGRAPHY*TYPE*T,San Cebrián de las Amayuelas,Q1020397,,Q353717,San Cebrián de Campos,Q1020397
106.0,BETA geoid 1098,GEOGRAPHY*TYPE*T,València,Q8818,,Q92865,Valencia,Q8818
125.0,BETA geoid 1115,GEOGRAPHY*TYPE*T,Coimbra,Q45412,,Q358436,Coimbra,Q45412
144.0,BETA geoid 1127,GEOGRAPHY*TYPE*T,Lyon,Q456,,Q23112,Lyon,Q456
201.0,BETA geoid 1172,GEOGRAPHY*TYPE*T,Barcelos,Q213242,,Q357969,Barcelos,Q213242
243.0,BETA geoid 1207,GEOGRAPHY*TYPE*CO,Étampes (comuna),Q205584,,Q113975,Étampes,Q205584
256.0,BETA geoid 1215,GEOGRAPHY*TYPE*T,Pont-à-Mousson,Q461413,,Q128460,Pont-à-Mousson,Q461413
280.0,BETA geoid 1236,GEOGRAPHY*TYPE*T,Auñón,Q425740,,Q344302,Auñón,Q425740
287.0,BETA geoid 1243,GEOGRAPHY*TYPE*T,Thetford,Q237250,,Q214973,Thetford,Q237250
288.0,BETA geoid 1244,GEOGRAPHY*TYPE*T,Tottenham,Q503375,,Q215387,Tottenham,Q503375
289.0,BETA geoid 1245,GEOGRAPHY*TYPE*T,London,Q84,,Q10412,London,Q84
304.0,BETA geoid 1258,GEOGRAPHY*TYPE*T,Sessa,Q58898,,Q251726,Sessa Aurunca,Q58898
346.0,BETA geoid 1294,GEOGRAPHY*TYPE*T,Gandía,Q33532,,Q85153,Gandia,Q33532
379.0,BETA geoid 1321,GEOGRAPHY*TYPE*T,Crotone,Q6681,,Q540236,Crotone,Q6681
394.0,BETA geoid 1336,GEOGRAPHY*TYPE*T,Oñate,Q496588,,Q351689,Oñati,Q496588
396.0,BETA geoid 1337,GEOGRAPHY*TYPE*T,Castañeda,Q608641,,Q346013,"Castañeda, Cantabria",Q608641
437.0,BETA geoid 1367,GEOGRAPHY*TYPE*T,Coruña,Q1613822,,Q346827,Coruña del Conde,Q1613822
454.0,BETA geoid 1381,GEOGRAPHY*TYPE*T,Grajal,Q137698,,Q348460,Grajal de Campos,Q137698
473.0,BETA geoid 1397,GEOGRAPHY*TYPE*T,Saldaña,Q773408,,Q353589,Saldaña,Q773408
481.0,BETA geoid 1403,GEOGRAPHY*TYPE*T,San Esteban de Gormaz,Q487352,,Q353776,San Esteban de Gormaz,Q487352
512.0,BETA geoid 1423,GEOGRAPHY*TYPE*T,Cadaval,Q33661928,,Q358146,Cadaval,Q33661928
555.0,BETA geoid 1458,GEOGRAPHY*TYPE*T,Puebla de Los Ángeles,Q125293,,Q90427,Puebla City,Q125293
556.0,BETA geoid 1459,GEOGRAPHY*TYPE*T,Benahavis,Q816672,,Q344750,Benahavís,Q816672
700.0,BETA geoid 1585,GEOGRAPHY*TYPE*T,Medellín,Q668384,,Q350464,Medellin,Q668384
715.0,BETA geoid 1597,GEOGRAPHY*TYPE*T,Puebla de Montalbán,Q537779,,Q349305,La Puebla de Montalbán,Q537779
730.0,BETA geoid 1610,GEOGRAPHY*TYPE*T,Ureña,Q609581,,Q355909,Urueña,Q609581
748.0,BETA geoid 1623,GEOGRAPHY*TYPE*T,Abrantes,Q331191,,Q357552,Abrantes,Q331191
760.0,BETA geoid 1631,GEOGRAPHY*TYPE*T,Vila Nova,Q543542,,Q359746,Portimão,Q543542
763.0,BETA geoid 1634,GEOGRAPHY*TYPE*T,Vimioso,Q551649,,Q360967,Vimioso,Q551649
772.0,BETA geoid 1641,GEOGRAPHY*TYPE*T,Noreña,Q816255,,Q351389,Noreña,Q816255
787.0,BETA geoid 1655,GEOGRAPHY*TYPE*T,Beja,Q213251,,Q358008,Beja,Q213251
826.0,BETA geoid 1692,GEOGRAPHY*TYPE*T,Caminha,Q1029544,,Q358182,Caminha,Q1029544
840.0,BETA geoid 1704,GEOGRAPHY*TYPE*T,Salvatierra,Q398698,,Q343239,Agurain/Salvatierra,Q398698
871.0,BETA geoid 1733,GEOGRAPHY*TYPE*T,Alenquer,Q988830,,Q357670,Alenquer,Q988830
874.0,BETA geoid 1735,GEOGRAPHY*TYPE*T,Aliaga,Q771314,,Q343625,"Aliaga, Aragon",Q771314
885.0,BETA geoid 1744,GEOGRAPHY*TYPE*T,Orléans,Q6548,,Q101836,Orléans,Q6548
905.0,BETA geoid 1762,GEOGRAPHY*TYPE*T,Perelada,Q11803,,Q352270,Peralada,Q11803
906.0,BETA geoid 1763,GEOGRAPHY*TYPE*T,Zavellá,Q739975,,Q354785,Savallà del Comtat,Q739975
920.0,BETA geoid 1773,GEOGRAPHY*TYPE*T,Campo Real,Q1999732,,Q345592,Campo Real,Q1999732
932.0,BETA geoid 1782,GEOGRAPHY*TYPE*T,Mújica,Q664870,,Q351124,Muxika,Q664870
933.0,BETA geoid 1783,GEOGRAPHY*TYPE*T,Aramayona,Q976743,,Q343937,Aramaio,Q976743
996.0,BETA geoid 1842,GEOGRAPHY*TYPE*T,Blois,Q160927,,Q106987,Blois,Q160927
1007.0,BETA geoid 1851,GEOGRAPHY*TYPE*T,Milano,Q490,,Q10416,Milan,Q490
1073.0,BETA geoid 1916,GEOGRAPHY*TYPE*T,Ferrara,Q13362,,Q84886,Ferrara,Q13362
1076.0,BETA geoid 1922,GEOGRAPHY*TYPE*T,Alife,Q58433,,Q540368,"Alife, Campania",Q58433
1153.0,BETA geoid 1998,GEOGRAPHY*TYPE*T,Villalba de los Alcores,Q1907118,,Q356803,Villalba de los Alcores,Q1907118
1169.0,BETA geoid 2013,GEOGRAPHY*TYPE*T,Pernia,Q1918857,,Q349271,La Pernía,Q1918857
1237.0,BETA geoid 2080,GEOGRAPHY*TYPE*T,Senigallia,Q124925,,Q540546,Senigallia,Q124925
1262.0,BETA geoid 2106,GEOGRAPHY*TYPE*T,Tarouca,Q990460,,Q360551,Tarouca,Q990460
1291.0,BETA geoid 2132,GEOGRAPHY*TYPE*T,Benavides,Q1641158,,Q344769,Benavides,Q1641158
1294.0,BETA geoid 2134,GEOGRAPHY*TYPE*T,Chimay,Q95380,,Q390354,Chimay,Q95380
1425.0,BETA geoid 2247,GEOGRAPHY*TYPE*T,Villagarcía de la Torre,Q1628543,,Q356772,Villagarcía de la Torre,Q1628543
1454.0,BETA geoid 2271,GEOGRAPHY*TYPE*T,Sulmona,Q50157,,Q436256,Sulmona,Q50157
1469.0,BETA geoid 2282,GEOGRAPHY*TYPE*T,Palmela,Q850855,,Q359537,Palmela,Q850855
1513.0,BETA geoid 2317,GEOGRAPHY*TYPE*T,Boston,Q100,,Q140576,Boston,Q100
1526.0,BETA geoid 2330,GEOGRAPHY*TYPE*T,Moral de Calatrava,Q1644456,,Q350905,Moral de Calatrava,Q1644456
1552.0,BETA geoid 2355,GEOGRAPHY*TYPE*T,Santa Marta,Q1375842,,Q351779,Ortigueira,Q1375842
1596.0,BETA geoid 2393,GEOGRAPHY*TYPE*T,Toreno,Q44913,,Q355488,Toreno,Q44913
1697.0,BETA geoid 2475,GEOGRAPHY*TYPE*T,Belalcázar,Q854373,,Q344684,Belalcázar,Q854373
1710.0,BETA geoid 2487,GEOGRAPHY*TYPE*T,Lobkovice,Q3503988,,Q917996,Lobkovice,Q3503988
1719.0,BETA geoid 2495,GEOGRAPHY*TYPE*T,Cangas de Tineo,Q737421,,Q345701,Cangas del Narcea,Q737421
1737.0,BETA geoid 2514,GEOGRAPHY*TYPE*T,Montpensier,Q845814,,Q125357,Montpensier,Q845814
1747.0,BETA geoid 2523,GEOGRAPHY*TYPE*T,Lerín,Q984875,,Q349731,Lerín,Q984875
1781.0,BETA geoid 2554,GEOGRAPHY*TYPE*T,Ellesmere,Q988970,,Q203323,Ellesmere,Q988970
1814.0,BETA geoid 2586,GEOGRAPHY*TYPE*T,York,Q42462,,Q143990,York,Q42462
1827.0,BETA geoid 2597,GEOGRAPHY*TYPE*T,Peñausende,Q907416,,Q352251,Peñausende,Q907416
1853.0,BETA geoid 2622,GEOGRAPHY*TYPE*T,Azambuja,Q634164,,Q357927,Azambuja,Q634164
1893.0,BETA geoid 2658,GEOGRAPHY*TYPE*T,Aguiar,Q1603774,,Q351515,O Pereiro de Aguiar,Q1603774
1921.0,BETA geoid 2680,GEOGRAPHY*TYPE*CO,Arrigas (comuna),Q840039,,Q104357,Arrigas,Q840039
1933.0,BETA geoid 2689,GEOGRAPHY*TYPE*T,Vila Real,Q503856,,Q360900,Vila Real,Q503856
1997.0,BETA geoid 2744,GEOGRAPHY*TYPE*T,Lopera,Q782775,,Q349960,Lopera,Q782775
2000.0,BETA geoid 2745,GEOGRAPHY*TYPE*T,Cabeza del Buey,Q1100433,,Q345334,Cabeza del Buey,Q1100433
2017.0,BETA geoid 2760,GEOGRAPHY*TYPE*T,Santiago,Q117040,,Q270778,Santiago de Cuba,Q117040
2072.0,BETA geoid 2811,GEOGRAPHY*TYPE*T,Motrico,Q1618305,,Q351119,Mutriku,Q1618305
2103.0,BETA geoid 2834,GEOGRAPHY*TYPE*T,San Esteban de las Cruces,Q1607479,,Q356417,Vila de Cruces,Q1607479
2109.0,BETA geoid 2837,GEOGRAPHY*TYPE*T,Carrascosa del Campo,Q2468358,,Q540265,Carrascosa del Campo,Q2468358
2111.0,BETA geoid 2839,GEOGRAPHY*TYPE*T,Orthez,Q244248,,Q127101,Orthez,Q244248
2112.0,BETA geoid 2840,GEOGRAPHY*TYPE*T,Santa Cruz de la Sierra,Q973409,,Q354395,"Santa Cruz de la Sierra, Spain",Q973409
2121.0,BETA geoid 2848,GEOGRAPHY*TYPE*T,Peñíscola,Q845424,,Q352257,Peniscola,Q845424
2128.0,BETA geoid 2855,GEOGRAPHY*TYPE*T,La Bisbal d’Empordà,Q13460,,Q349076,La Bisbal d'Empordà,Q13460
2138.0,BETA geoid 2863,GEOGRAPHY*TYPE*T,Sainte-Maure-de-Touraine,Q474524,,Q134916,Sainte-Maure-de-Touraine,Q474524
2140.0,BETA geoid 2865,GEOGRAPHY*TYPE*T,Messina,Q13666,,Q10423,Messina,Q13666
2143.0,BETA geoid 2867,GEOGRAPHY*TYPE*T,Poleñino,Q984585,,Q352528,Poleñino,Q984585
2148.0,BETA geoid 2872,GEOGRAPHY*TYPE*T,Beauvais,Q174257,,Q105962,Beauvais,Q174257
2153.0,BETA geoid 2879,GEOGRAPHY*TYPE*M,Mota (marquesado),Q1929288,,Q351000,Mota del Marqués,Q1929288
2162.0,BETA geoid 2884,GEOGRAPHY*TYPE*T,St. Gallen,Q25607,,Q80892,St. Gallen,Q25607
2164.0,BETA geoid 2886,GEOGRAPHY*TYPE*T,Borja,Q835559,,Q345077,Borja,Q835559
2167.0,BETA geoid 2888,GEOGRAPHY*TYPE*T,Campobasso,Q3497,,Q540387,Campobasso,Q3497
2174.0,BETA geoid 2895,GEOGRAPHY*TYPE*T,Cruïlles,Q3920534,,Q346936,Cruïlles,Q3920534
2193.0,BETA geoid 2911,GEOGRAPHY*TYPE*T,Monteagudo,Q1772992,,Q350812,Monteagudo,Q1772992
,BETA geoid 2917,GEOGRAPHY*TYPE*T,Priego de Córdoba,Q301437,,Q352737,Priego de Córdoba,Q301437
