QNUMBER,LABEL,LANG,ALIAS,PBID
Q1,entity,en
Q2,Wikidata property for an identifier,en
Q3,Properties used in PhiloBiblon,en
Q4,BETA / Bibliografía Española de Textos Antiguos,en
Q5,PhiloBiblon automation pending,en
Q6,PhiloBiblon object,en
,Type of event,en
,Circa,en
,Questionable date,en
,Organisation,en
,Questionable statement,en
,PhiloBiblon object,en
,PhiloBiblon automation pending,en
,PhiloBiblon record created,en
,PhiloBiblon record updated,en
,Mariña Arbor,en,ALDEA
,Arthur L-F. Askins,en,ASKINS
,José Domingues,en,DOMINGUES
,Charles Faulhaber,en,FAULHABER
,Daniel Gullo,en,GULLO
,Filipe Alves,en,MOREIRA
,Óscar Perea,en,PEREA
,Ricardo Pichel Gotérrez,en,PICHEL
,Pedro Pinto,en,PINTO
,Martha E. Shaffer,en,SHAFFER
,Harvey L. Sharrer,en,SHARRER
,Olaf Simons,en,SIMONS
,Christina Sobral,en,SOBRAL
,BRAVO,en,BRAVO
,CORTIJO,en,CORTIJO
,DORN,en,DORN
,MOLL,en,MOLL
,MORRAS,en,MORRAS
,PARK,en,PARK
,PELAYO,en,PELAYO
,SANZ,en,SANZ
,App Service - MCR,en,App Service - MCR